longitude,latitude,number_of_vehicles,number_of_casualties,day_of_week,road_type,speed_limit,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,month,time_period,casualties_per_vehicle,has_second_road,second_road_unknown,first_road_class_ordinal,second_road_class_ordinal
-0.03264,51.61204,2,5,1,1,30,0.0,,4.0,1,1.0,2,9,Evening,2.5,0,0,4,0
-2.09595,52.6203,1,1,4,6,30,0.0,,1.0,1,1.0,1,3,Afternoon,1.0,1,0,1,1
-2.22632,53.46722,2,1,1,6,30,0.0,,1.0,1,1.0,1,7,Afternoon,0.5,1,0,1,1
-1.20068,53.53718,2,1,2,3,70,0.0,,1.0,1,1.0,2,6,Morning,0.5,0,1,4,0
-1.49515,50.98709,2,1,5,6,30,0.0,4.0,1.0,1,2.0,1,2,Morning,0.5,1,0,4,3
-0.13033,53.5645,2,2,5,6,30,0.0,,1.0,2,2.0,2,4,Afternoon,1.0,0,1,4,0
-2.67518,53.69023,2,1,7,6,40,0.0,,1.0,1,1.0,1,5,Afternoon,0.5,0,1,4,0
0.07958,51.54401,2,1,1,6,30,19.0,4.0,4.0,5,2.0,1,1,Afternoon,0.5,1,0,1,1
-0.12415,51.48542,1,1,5,6,20,0.0,,1.0,9,1.0,1,7,Afternoon,1.0,0,0,4,0
-2.94225,53.38794,2,1,3,1,20,0.0,4.0,1.0,1,1.0,1,12,Morning,0.5,1,0,1,1
1.29203,52.63522,2,1,2,1,30,,4.0,1.0,1,1.0,1,4,Morning,0.5,1,0,4,1
-2.87633,53.78134,1,1,2,6,20,0.0,,4.0,4,2.0,1,1,Evening,1.0,1,0,1,1
-0.44539,51.54606,2,1,4,6,30,18.0,4.0,1.0,1,1.0,1,6,Afternoon,0.5,1,0,1,1
-2.787,53.46377,2,1,7,6,60,0.0,,1.0,1,1.0,2,8,Afternoon,0.5,0,0,1,0
-1.69711,53.67918,2,2,6,6,30,19.0,4.0,1.0,3,4.0,1,11,Morning,1.0,1,0,1,1
-1.18953,53.00315,3,1,7,6,20,0.0,,1.0,1,1.0,1,4,Afternoon,0.3333333333333333,1,0,1,1
-1.80048,53.87392,2,1,2,6,60,13.0,4.0,1.0,1,1.0,2,6,Morning,0.5,1,0,1,1
-0.75319,51.2956,2,1,6,6,30,18.0,4.0,1.0,1,1.0,1,4,Afternoon,0.5,1,0,4,1
0.9583,51.11687,2,1,3,6,60,16.0,4.0,6.0,1,1.0,2,11,Afternoon,0.5,1,0,1,4
1.27944,52.65266,1,1,3,6,30,13.0,2.0,1.0,1,1.0,1,4,Morning,1.0,1,0,4,1
-1.06239,50.80056,1,1,4,6,30,16.0,4.0,1.0,1,1.0,1,10,Morning,1.0,1,0,4,1
